characteristic,estimate,se,n
Persons,43963.0,,43963
"Weighted population, millions a year",325.78834403595636,,43963
"Age in year 1, mean",38.91839647035017,0.1958561127842788,43963
"Age 65 and over, %",16.465741220784405,0.2714717055674301,43963
"Female, %",50.912744853356706,0.24225111006620928,43963
"Hispanic, %",19.010908300575753,0.5971078042726928,43963
"Non-Hispanic White, %",58.63782545233918,0.6353270959523823,43963
"Non-Hispanic Black, %",12.435424577171652,0.4150273149675211,43963
"Non-Hispanic Asian, %",6.152829138528046,0.2990512580844767,43963
"Non-Hispanic other or multiple, %",3.763012531385364,0.19368446120074512,43963
"Below 100% FPL, %",12.357720456756118,0.3357111137728147,43963
"100-124% FPL, %",4.070027298580823,0.2027447965441614,43963
"125-199% FPL, %",12.278842193919271,0.33801537007167315,43963
"200-399% FPL, %",28.910653934196457,0.48315509501227977,43963
"400% FPL or more, %",42.38275611654733,0.580849194117854,43963
"Any private coverage, %",65.82415263007881,0.5036727556670041,43963
"Public coverage only, %",27.493096987053693,0.44006637446954017,43963
"Uninsured all year, %",6.682750382867471,0.23352727447131738,43963
"Fair or poor perceived health, %",9.781633539849828,0.20788666619148077,43789
"Needs help with ADL or IADL, %",2.819495779947566,0.09941890937552253,43963
"Any year-1 condition (CCSR category), %",70.0444387463336,0.38625821819395967,43963
"Year-1 CCSR categories, mean",2.802240047441914,0.025831408716333396,43963
"Any mental health condition, %",15.807702308133956,0.27533197107410295,43963
"Year-1 spending, mean $",7389.490498235349,158.10668593415008,43963
"Year-2 spending, mean $",7792.211332222286,146.59850484569995,43963
"Year-2 spending of zero, %",14.936376873952847,0.3174623959816098,43963
"Year-2 spending, median $",1497.4023900000002,,43963
"Year-2 spending, 90th percentile $",18542.6535428975,,43963
"Year-2 spending, 99th percentile $",95758.64381925568,,43963
"Share of year-2 spending by the top 5% of spenders, %",50.74651550999603,,43963
