model,model_key,feature_set,r2,mae,rmse,cpm,pr_overall,pr_bottom_decile,pr_top_decile,top5_capture,top10_capture,r2_lo,r2_hi,cpm_lo,cpm_hi,r2_repeat_sd,r2_ensemble,cpm_ensemble,negative_prediction_share,seconds
WLS,wls,F3,0.1230291603517726,8336.749662620156,23937.751642968124,0.1467064348282701,1.0012870288630604,-1.9437629202098483,0.942132771023057,0.3257850536145294,0.4360969194068979,0.1021702818795751,0.155032562778785,0.1336801360912062,0.1639215434408445,0.0005037418872114,0.1244226905404819,0.1492098869918381,0.1517833168801582,1.6
Payment-form WLS (non-negative),pwls,F3,0.10729765318375235,8002.584607838738,24151.50094584299,0.1809093199441256,1.051732986988866,0.07750359939957986,1.0123281385077434,0.29538185228216174,0.4073068641110986,0.08489760488326535,0.14159089169477504,0.1690557290639868,0.19788407345014253,0.00031582796529415437,0.10820950496430926,0.18190233530410826,0.0,9.4
Tweedie GLM,tweedie,F3,0.1257556491572134,7402.62840525775,23900.461184688567,0.2423167974101487,1.0044099288433614,0.9802466976969888,0.9991626937961232,0.3552664276533677,0.4666365920322391,0.0950192976679558,0.1659781840087665,0.2305745485337935,0.2562794295162915,0.004425368544938,0.1299317884876468,0.2447821630912501,0.0,21.2
Two-part,twopart,F3,0.0928175682212218,7810.809098595644,24346.58522649926,0.2005381698697009,1.0028150777546678,1.0046667720445512,0.9614748818261556,0.3077982448791047,0.4251100733277503,0.0725970680323227,0.1205698349686285,0.1892800898503195,0.2134301938884006,0.0010756861552485,0.0994093383134779,0.2045633753795457,0.0,22.8
Elastic net,enet,F3,0.1161753036818426,7865.089435844697,24031.111420826317,0.1949824000116181,1.001068437228474,-0.8332895407239422,0.94063396208706,0.3148295158076373,0.4232840390676521,0.0932486472119124,0.1508529195856441,0.1836470928713937,0.2103081880082835,0.0001882198408816,0.1169956243452049,0.1964820246640207,0.1229093138314268,13.4
LightGBM (Tweedie),gbm,F3,0.1871255533360669,7077.41296767288,23046.31075060005,0.27560365996642,0.9957975886655384,1.0265093407499624,0.992568450917085,0.3894448337136532,0.4807671302384582,0.1558013904111008,0.2424723233741004,0.2647650826943409,0.291004394031808,0.0045140943973803,0.1897140635356867,0.2771957617433468,0.0,278.9
LightGBM (squared error),gbm_mse,F3,0.1837643998267825,7193.347305724387,23093.904589572892,0.2637374016948835,1.0006849645266065,1.4276289601117609,1.0007735834304323,0.3899290105814808,0.4744535906362985,0.1561425292468428,0.2349475259725118,0.2531429090529627,0.2800005586965302,0.0046794008259545,0.189075763200596,0.2674118493992271,0.000129063411584,233.5
Random forest,rf,F3,0.1895402120203387,7157.03165597886,23012.04523674976,0.2674544270941024,1.0001048991395558,0.7492016977692391,0.9772689808233288,0.3934909578864093,0.4797812769066576,0.1610068223005797,0.2379713704210701,0.2561449548605855,0.2813235166298777,0.0048773800838388,0.1905598288661044,0.2682990486015061,0.0,70.9
Neural network,mlp,F3,0.105095115650501,7494.112495480422,24180.69435010305,0.2329531018859074,0.9724837387870848,0.9755503759245192,1.054598013554405,0.3130620777022825,0.4224130006596205,0.0854935132499146,0.1310909723304847,0.2211029417810065,0.246242461389308,0.0152201362617441,0.1354721131539067,0.2486661258448943,0.0,88.9
CANN,cann,F3,0.1238226055377525,7404.909071559184,23926.846084146917,0.2420833637629753,1.0045810343682542,0.952505004755236,1.0059131068199825,0.3565729275204035,0.4661800511769797,0.0926591947836467,0.1636527685943271,0.230475365147797,0.2560544669524751,0.0053635856316684,0.1285539668574046,0.2446574117174266,0.0,109.9
