model,model_key,feature_set,r2,mae,rmse,cpm,pr_overall,pr_bottom_decile,pr_top_decile,top5_capture,top10_capture,r2_lo,r2_hi,cpm_lo,cpm_hi,r2_repeat_sd,r2_ensemble,cpm_ensemble,negative_prediction_share,seconds
WLS,wls,F1,0.0404930682837451,8937.004939024542,25038.87694668981,0.0852683461793107,1.0005210798117925,0.7716936046632986,0.9915021709272532,0.1644388145483668,0.2641974311794906,0.0304201194258872,0.0538168753354805,0.0707085829359688,0.1015242903950513,0.000349103451131,0.0406412551151126,0.0854701986586701,0.0,0.2
WLS,wls,F2,0.10277125637333,7937.365888847868,24212.653106535377,0.187584668910543,1.0012711157810086,0.0353445877516526,1.0589533641636877,0.2876895486956314,0.4037998573721981,0.0799517906172121,0.1341950632432421,0.1755958406748439,0.2025364178190641,0.0001824373449762,0.104093518270418,0.1900482118746248,0.0330315213029512,0.7
WLS,wls,F3,0.1230291603517726,8336.749662620156,23937.751642968124,0.1467064348282701,1.0012870288630604,-1.9437629202098483,0.942132771023057,0.3257850536145294,0.4360969194068979,0.1021702818795751,0.155032562778785,0.1336801360912062,0.1639215434408445,0.0005037418872114,0.1244226905404819,0.1492098869918381,0.1517833168801582,0.8
WLS,wls,F4,0.1270734409721937,8295.531549623993,23882.492062916484,0.1509252433581515,1.000817114330865,-1.9358681635853772,0.9610353996283254,0.330479373543658,0.4387127420572854,0.1075531690518745,0.1585559886445277,0.1365658760689278,0.1686111853300873,0.0002859254069921,0.128649843868997,0.1539925807355344,0.1677959748091153,0.7
Tweedie GLM,tweedie,F1,0.0406867141816816,8933.533036540697,25036.350112746382,0.0856237067416715,1.000528261025,0.8497452742890435,0.9937077980377144,0.1640244745303114,0.2651972845215697,0.0304240305586297,0.0542980895322607,0.0711533341465801,0.1022858635961323,0.0003832133050185,0.0408463394530501,0.0858085362242893,0.0,5.5
Tweedie GLM,tweedie,F2,-0.0008170749414238,8062.852491257755,25571.240028827,0.1747407051734855,1.0076827968025788,1.5860709200174363,1.2362927049712065,0.2839176346480656,0.4002721882228322,-0.0508141155615588,0.0460561936253979,0.1610808990875281,0.1892842032716929,0.0213405803594092,0.0070261080529135,0.1762435289747018,0.0,18.2
Tweedie GLM,tweedie,F3,0.1257556491572134,7402.62840525775,23900.461184688567,0.2423167974101487,1.0044099288433614,0.9802466976969888,0.9991626937961232,0.3552664276533677,0.4666365920322391,0.0950192976679558,0.1659781840087665,0.2305745485337935,0.2562794295162915,0.004425368544938,0.1299317884876468,0.2447821630912501,0.0,19.5
Tweedie GLM,tweedie,F4,0.1226101660606305,7381.280368653051,23943.37891557167,0.244501838703342,1.0042231224332852,0.9560875302052744,1.0090706722164364,0.3564641246845247,0.4655975113171682,0.0949398601647357,0.1597536853751128,0.232854642727733,0.2591260740688589,0.0059252953545335,0.1278762504572896,0.2471536709165703,0.0,21.3
LightGBM (Tweedie),gbm,F1,0.0393300996337682,8973.677249516835,25054.044985413024,0.081514815387405,1.000072922422748,0.7836977857581608,0.948228801834444,0.1568508390186223,0.2614855006245196,0.0292384874619801,0.0530761507355878,0.0674944631298871,0.0972073077629154,0.0008932067977702,0.0400168204789721,0.0822658987287526,0.0,143.3
LightGBM (Tweedie),gbm,F2,0.1007482892241841,7821.166667275975,24239.93279283516,0.1994780388757985,0.9978070072886268,1.0825799405587408,1.0061313569954735,0.2930106172967432,0.4052268307783975,0.0776390552349819,0.1333426778832844,0.1880294137750172,0.2124853597147341,0.0006223753266602,0.1031693000412889,0.2015318251736172,0.0,199.4
LightGBM (Tweedie),gbm,F3,0.1871255533360669,7077.41296767288,23046.31075060005,0.27560365996642,0.9957975886655384,1.0265093407499624,0.992568450917085,0.3894448337136532,0.4807671302384582,0.1558013904111008,0.2424723233741004,0.2647650826943409,0.291004394031808,0.0045140943973803,0.1897140635356867,0.2771957617433468,0.0,223.5
LightGBM (Tweedie),gbm,F4,0.1885557006783572,7048.058859265885,23025.99903951827,0.278608148865415,0.9949059335415494,0.8925544874163224,0.9921181265930894,0.3953877137543466,0.4833865243442226,0.1597218193239344,0.2396798143817752,0.2674841885460342,0.2933588375361087,0.0055122982182044,0.1910737421764453,0.2803146585718494,0.0,264.0
Payment-form WLS (non-negative),pwls,F1,0.04013417296101748,8941.07123111321,25043.559473224672,0.0848521478989513,1.000245530118366,0.7654441308042829,1.0184076491284773,0.1603546356611312,0.2573170024785676,0.029802454617595203,0.05329712746989479,0.06973483205580405,0.10093377509666636,0.000210442329086528,0.040263660887383756,0.08500639263409038,0.0,0.2
Payment-form WLS (non-negative),pwls,F2,0.09795025417342962,7898.018488232039,24277.615184524475,0.19161200391644603,1.0011529606956915,0.3766357536507947,1.0462010326644149,0.2914486267966388,0.40054801042669125,0.07595019136459688,0.12982389671199981,0.18036150562088316,0.20690536845074384,0.000546710555393079,0.09887606334222798,0.19284719480321322,0.0,8.7
Payment-form WLS (non-negative),pwls,F3,0.10729765318375235,8002.584607838738,24151.50094584299,0.1809093199441256,1.051732986988866,0.07750359939957986,1.0123281385077434,0.29538185228216174,0.4073068641110986,0.08489760488326535,0.14159089169477504,0.1690557290639868,0.19788407345014253,0.00031582796529415437,0.10820950496430926,0.18190233530410826,0.0,8.5
Payment-form WLS (non-negative),pwls,F4,0.11334607847682798,7972.748772457824,24069.54376000806,0.1839631151727633,1.0560115986240983,0.18421347741826,0.9941060490935065,0.3047389527734968,0.42082903844009234,0.0914492187067265,0.14667736658860545,0.1726637571781964,0.2002448821554844,0.0002834434094934552,0.1157910248401538,0.18696603965892666,0.0,65.4
