model,decile,mean_predicted,mean_observed,predictive_ratio
WLS,1,-3445.1018889660113,1800.7431857364863,-1.913155588345041
WLS,2,-103.46236488832699,1792.6029420642465,-0.05771627528915376
WLS,3,983.0076881093388,1603.6494063930556,0.6129816680569412
WLS,4,2306.072649650889,2487.1975783879275,0.9271771047419425
WLS,5,4170.393395025776,3225.734556485898,1.2928507668557159
WLS,6,6384.600316189199,4649.651552339049,1.373135221923752
WLS,7,8851.090311071956,6522.308931412224,1.357048616394731
WLS,8,12081.63801558023,9041.374040682838,1.3362612763521706
WLS,9,16664.18747244596,14514.180962162829,1.1481314388933146
WLS,10,27557.030892831466,29737.831645923998,0.9266657778193642
Tweedie GLM,1,841.2691913256014,839.6081241984941,1.0019783838188714
Tweedie GLM,2,1294.6678127796122,1458.9195845553872,0.8874154727137812
Tweedie GLM,3,1827.533401999256,1812.149808942339,1.0084891397946265
Tweedie GLM,4,2544.6594207576195,2291.0930676892995,1.110674837545581
Tweedie GLM,5,3515.5618733161555,3385.5504053960162,1.0384018704057463
Tweedie GLM,6,4812.988538939344,4886.976915410364,0.9848600929057577
Tweedie GLM,7,6697.639069292314,6272.5023852015165,1.0677778433522491
Tweedie GLM,8,9440.06331909311,9503.724482479965,0.9933014510780257
Tweedie GLM,9,14150.697508591622,13505.908898798169,1.0477412230916818
Tweedie GLM,10,30529.879184176112,31419.752974312014,0.9716778871284112
Two-part,1,960.3881956185032,975.7361222982468,0.9842704125336745
Two-part,2,1756.0319311538278,1403.18018428566,1.251465742475404
Two-part,3,2571.8847299861786,1830.1391880380663,1.4052946064409853
Two-part,4,3319.7367865881984,2336.204958250959,1.420995523044167
Two-part,5,4258.471314879141,3112.096500310284,1.3683609471796778
Two-part,6,5490.368674408657,5122.566448377031,1.071800381652083
Two-part,7,7073.8466133619895,7260.289152127377,0.9743202323132327
Two-part,8,9256.237405508828,10479.8609321695,0.8832404805196816
Two-part,9,12951.284427684455,14633.342382618062,0.8850530582178131
Two-part,10,27862.560655206456,28223.1845291757,0.9872224244008875
Elastic net,1,-873.6531566273165,1020.3540387713657,-0.8562255094117182
Elastic net,2,247.03700564064812,1357.4569410934196,0.18198515043995575
Elastic net,3,1278.3104555538823,1881.8021070158998,0.6793012138672675
Elastic net,4,2671.7222794580953,2861.9199162975488,0.9335419430304984
Elastic net,5,4397.279565400795,3537.2626921800875,1.243130620499848
Elastic net,6,6400.064905578447,4456.544530308648,1.4361047807448244
Elastic net,7,8711.671980225494,6853.321791481493,1.2711605036631846
Elastic net,8,11493.671429971873,9818.485694313922,1.1706154887640245
Elastic net,9,15552.550535272097,16187.183820161239,0.9607940892041578
Elastic net,10,25561.842416663123,27402.009533309145,0.9328455413312238
LightGBM (Tweedie),1,837.4479010373069,819.0865999199907,1.0224168007621046
LightGBM (Tweedie),2,1273.25346821904,1225.1053643262649,1.0393011942440182
LightGBM (Tweedie),3,1805.9260584722356,1813.6543106948436,0.9957388504650331
LightGBM (Tweedie),4,2459.946681056337,2272.8397278061148,1.0823229860694268
LightGBM (Tweedie),5,3308.2199635680768,3478.0852462155735,0.9511612652874671
LightGBM (Tweedie),6,4494.516100332141,4811.857033846064,0.9340502156897467
LightGBM (Tweedie),7,6270.961343310702,6114.758039697293,1.0255452959216587
LightGBM (Tweedie),8,8978.763414558969,9108.190059366056,0.9857900807994234
LightGBM (Tweedie),9,13651.884238476667,13176.437634996715,1.0360830913977206
LightGBM (Tweedie),10,31836.58565199972,32556.083395851696,0.9778997450306429
LightGBM (squared error),1,1463.1967965436706,928.774374432486,1.575406080123319
LightGBM (squared error),2,1699.3977700564358,1102.7655900637662,1.5410326413595932
LightGBM (squared error),3,2095.159715191135,1906.1757435725467,1.0991429946875704
LightGBM (squared error),4,2612.6683154820025,2541.241740338377,1.028106958110217
LightGBM (squared error),5,3352.697963491048,3378.09725755661,0.9924811833025986
LightGBM (squared error),6,4552.689697483033,4527.97305332256,1.0054586553120797
LightGBM (squared error),7,6313.7969401008195,6591.380827341879,0.9578868382039759
LightGBM (squared error),8,8730.698448625595,9145.501713543632,0.954644012115404
LightGBM (squared error),9,13041.04737957577,12910.543842562945,1.0101082912233785
LightGBM (squared error),10,31409.346856848435,32342.41895904854,0.971150206687337
Random forest,1,699.3459751184832,931.7177252735486,0.7505985516301711
Random forest,2,1248.1566565948942,1220.3423681312686,1.0227922009347412
Random forest,3,1825.7988728297469,1716.2922333967929,1.0638041921428638
Random forest,4,2563.7627200360907,2515.962241946536,1.018998885314182
Random forest,5,3477.9884935499103,3272.318905889134,1.0628513276290512
Random forest,6,4776.934229742311,5091.788073148869,0.9381643856964678
Random forest,7,6564.184507075371,6213.556514316674,1.0564295169683922
Random forest,8,9092.439807384002,8848.676832445375,1.0275479576838904
Random forest,9,13822.920374247016,13378.946310201123,1.0331845314086785
Random forest,10,31338.084131766103,32187.617812036533,0.9736068172167515
Neural network,1,795.3330568031419,793.5208726487211,1.0022837258815533
Neural network,2,1233.7761496027636,1212.5030444061167,1.017544784975832
Neural network,3,1696.6991486548459,1844.8650777523203,0.9196873902139275
Neural network,4,2308.6623701078775,2280.1531023579273,1.012503225209074
Neural network,5,3200.266706879605,3496.4719689321214,0.9152845311833052
Neural network,6,4538.488419827005,4701.406618950696,0.9653469243721675
Neural network,7,6558.0794582130375,6788.34891841078,0.9660787235651329
Neural network,8,9501.608820466263,9916.089064714659,0.9582012382559895
Neural network,9,14340.594184834235,13907.6663147537,1.0311287214031928
Neural network,10,29533.732804531723,30433.568519217988,0.9704327898938949
CANN,1,828.5495986199464,830.2370646757392,0.9979674888925227
CANN,2,1275.6471490945014,1477.4276181134849,0.8634244638822745
CANN,3,1806.4745751153116,1792.7491530950704,1.0076560750267516
CANN,4,2518.8241973875656,2283.2551504184107,1.1031724583763607
CANN,5,3484.413491102777,3372.0495756277187,1.0333221422031262
CANN,6,4780.269980068814,4850.36475814816,0.985548555299559
CANN,7,6666.864138377706,6343.641256022498,1.0509522637410096
CANN,8,9417.82726451738,9522.54974872206,0.989002684473375
CANN,9,14152.713491783088,13480.13784882807,1.0498938253078391
CANN,10,30749.81966187012,31426.16042183843,0.9784784157246802
