model,r2_single_repeat_mean,r2_single_repeat_min,r2_single_repeat_max,r2_repeat_averaged,averaging_gain
WLS,0.12302916035177269,0.12244961527340215,0.12336196213140793,0.12442269054048194,0.0013935301887092466
Payment-form WLS (non-negative),0.10729765318375235,0.10699115674903159,0.10762205120476276,0.10820950496430926,0.0009118517805569021
Tweedie GLM,0.12575564915721346,0.12243684148200418,0.13078002304962633,0.12993178848764686,0.004176139330433398
Two-part,0.09281756822122185,0.09174744421725878,0.09389873155693174,0.09940933831347798,0.00659177009225613
Elastic net,0.11617530368184266,0.11599280950284108,0.11636876923579298,0.11699562434520494,0.0008203206633622812
LightGBM (Tweedie),0.18712555333606695,0.1819911439325047,0.19047085076106263,0.18971406353568676,0.002588510199619809
LightGBM (squared error),0.18376439982678253,0.1809215021215187,0.18916520058242559,0.18907576320059605,0.005311363373813521
Random forest,0.18954021202033874,0.18408558201651237,0.19348165021338426,0.19055982886610445,0.0010196168457657084
Neural network,0.10509511565050104,0.0895689114483903,0.11998950691494259,0.13547211315390673,0.03037699750340568
CANN,0.12382260553775255,0.12021136876457872,0.12998566325889116,0.1285539668574046,0.004731361319652058
