model,age_band,sex,n,mean_observed,predictive_ratio
WLS,0-17,male,4843,2757.4873218933067,1.0049941360426675
WLS,0-17,female,4547,2710.8830546904073,1.0066758394625024
WLS,18-34,male,4035,3239.4531856634135,1.003778268952788
WLS,18-34,female,4160,6020.7657161765255,1.001534677979894
WLS,35-44,male,2452,4390.187824911313,0.9985923167591512
WLS,35-44,female,2821,7485.450947116885,1.0006840712119027
WLS,45-54,male,2474,8005.768584397439,1.0008765284247951
WLS,45-54,female,2917,9033.267043728072,1.0040121318814623
WLS,55-64,male,2872,11397.868749156893,0.9983682355255423
WLS,55-64,female,3352,12494.838626739294,1.0033387821030724
WLS,65+,male,4195,17082.44477977775,1.0019062644262722
WLS,65+,female,5295,16499.425792975133,0.998240539294908
Payment-form WLS (non-negative),0-17,male,4843,2757.4873218933067,1.3933027437972676
Payment-form WLS (non-negative),0-17,female,4547,2710.8830546904073,1.39496041298203
Payment-form WLS (non-negative),18-34,male,4035,3239.4531856634135,1.1215225536809728
Payment-form WLS (non-negative),18-34,female,4160,6020.7657161765255,1.0672922657846178
Payment-form WLS (non-negative),35-44,male,2452,4390.187824911313,1.0829385864075096
Payment-form WLS (non-negative),35-44,female,2821,7485.450947116885,1.0051624024974706
Payment-form WLS (non-negative),45-54,male,2474,8005.768584397439,0.9997702992870233
Payment-form WLS (non-negative),45-54,female,2917,9033.267043728072,1.0172604648689294
Payment-form WLS (non-negative),55-64,male,2872,11397.868749156893,0.9989140710292869
Payment-form WLS (non-negative),55-64,female,3352,12494.838626739294,1.0034475810692678
Payment-form WLS (non-negative),65+,male,4195,17082.44477977775,1.0028829075689185
Payment-form WLS (non-negative),65+,female,5295,16499.425792975133,1.0183756904933774
Tweedie GLM,0-17,male,4843,2757.4873218933067,0.9845238724491466
Tweedie GLM,0-17,female,4547,2710.8830546904073,0.9395924926600053
Tweedie GLM,18-34,male,4035,3239.4531856634135,0.8720829489092311
Tweedie GLM,18-34,female,4160,6020.7657161765255,1.0565776242139016
Tweedie GLM,35-44,male,2452,4390.187824911313,0.9903069821301327
Tweedie GLM,35-44,female,2821,7485.450947116885,0.985175273820743
Tweedie GLM,45-54,male,2474,8005.768584397439,0.9434573756586144
Tweedie GLM,45-54,female,2917,9033.267043728072,0.9870771766808243
Tweedie GLM,55-64,male,2872,11397.868749156893,1.0177612905871636
Tweedie GLM,55-64,female,3352,12494.838626739294,1.0072936273572128
Tweedie GLM,65+,male,4195,17082.44477977775,0.9882962647886596
Tweedie GLM,65+,female,5295,16499.425792975133,1.0715965495013646
LightGBM (Tweedie),0-17,male,4843,2757.4873218933067,1.078247018097415
LightGBM (Tweedie),0-17,female,4547,2710.8830546904073,1.0208058304868481
LightGBM (Tweedie),18-34,male,4035,3239.4531856634135,0.9736044272054137
LightGBM (Tweedie),18-34,female,4160,6020.7657161765255,1.0056970188122578
LightGBM (Tweedie),35-44,male,2452,4390.187824911313,1.1312098838722089
LightGBM (Tweedie),35-44,female,2821,7485.450947116885,0.9967591545040109
LightGBM (Tweedie),45-54,male,2474,8005.768584397439,0.9295582269373557
LightGBM (Tweedie),45-54,female,2917,9033.267043728072,1.0669937605779818
LightGBM (Tweedie),55-64,male,2872,11397.868749156893,0.943819143054076
LightGBM (Tweedie),55-64,female,3352,12494.838626739294,1.0246464506376494
LightGBM (Tweedie),65+,male,4195,17082.44477977775,0.9229166846836366
LightGBM (Tweedie),65+,female,5295,16499.425792975133,1.013615770901157
CANN,0-17,male,4843,2757.4873218933067,0.9753657471845094
CANN,0-17,female,4547,2710.8830546904073,0.9321259927746
CANN,18-34,male,4035,3239.4531856634135,0.8655440414393999
CANN,18-34,female,4160,6020.7657161765255,1.0571813535961094
CANN,35-44,male,2452,4390.187824911313,0.9830781800958066
CANN,35-44,female,2821,7485.450947116885,0.9807562021512718
CANN,45-54,male,2474,8005.768584397439,0.9380615151419155
CANN,45-54,female,2917,9033.267043728072,0.9862400866141602
CANN,55-64,male,2872,11397.868749156893,1.0156231257697728
CANN,55-64,female,3352,12494.838626739294,1.0116904665069189
CANN,65+,male,4195,17082.44477977775,0.9903478686551578
CANN,65+,female,5295,16499.425792975133,1.0790527682445281
