model,model_key,group,pr,nc,mean_cost,mae,n,nc_lo,nc_hi,nc_minus_wls,nc_minus_wls_lo,nc_minus_wls_hi,target_group
WLS,wls,Income below 200% FPL,0.9882673577249443,-91.92617201189223,7835.0783955402985,8409.56353684986,15406,-619.0934839664918,336.0682801746759,0.0,0.0,0.0,True
WLS,wls,Hispanic,0.9436445754839444,-271.14294365386235,4811.3015913244535,6261.412756271591,9944,-1034.2156266283732,335.9247633464662,0.0,0.0,0.0,False
WLS,wls,Non-Hispanic Black,0.9696434655243031,-202.29030198329517,6663.814084089429,7592.325307680898,6187,-896.3409789541857,485.17519608169135,0.0,0.0,0.0,False
WLS,wls,Non-Hispanic Asian,1.0362618247364743,178.65940363982477,4926.928110711395,6254.36069123811,2348,-399.1054996065892,734.5238091546269,0.0,0.0,0.0,False
WLS,wls,Needs ADL or IADL help,0.7527276295206854,-7746.723673630101,31328.707120062754,23891.94591288856,1612,-12746.942163489048,-4246.1194554731865,0.0,0.0,0.0,True
WLS,wls,Mental health condition,1.0136400823487717,193.45000909068787,14182.466362317144,12402.202501390968,7175,-474.0128637652693,771.8834680982819,0.0,0.0,0.0,True
WLS,wls,Age 65 and over,0.9999165229427218,-1.399156278912761,16760.96791779527,14866.078569203657,9490,-903.2473745480762,685.5906105505558,0.0,0.0,0.0,False
WLS,wls,Uninsured all year,0.9473953311173829,-126.28881645308677,2400.7149771228355,4127.566106149716,3114,-695.6174410748457,372.97617828225214,0.0,0.0,0.0,False
WLS,wls,Died in year 2,0.3418210194433143,-43607.07256271928,66254.1251709931,55479.58637733949,395,-54318.014336595945,-32699.477341060476,0.0,0.0,0.0,False
Payment-form WLS (non-negative),pwls,Income below 200% FPL,1.0862066428780868,675.4358051661548,7835.0783955402985,8124.078171743667,15406,124.43619283599841,1112.8627332242772,767.3619771780469,681.4389497424311,868.4998591177265,True
Payment-form WLS (non-negative),pwls,Hispanic,1.1057187561097643,508.644819503752,4811.3015913244535,5888.113096446227,9944,-297.4593917516138,1114.1440595549452,779.7877631576143,688.5523856464404,863.3955420828773,False
Payment-form WLS (non-negative),pwls,Non-Hispanic Black,1.0620453377467187,413.4585955286681,6663.814084089429,7233.011334207604,6187,-230.39893697785158,1096.3469197558363,615.7488975119633,488.8642980484878,739.3669252487874,False
