method,lambda,r2,cpm,max_abs_nc_target,max_abs_nc_all,nc::Income below 200% FPL,pr::Income below 200% FPL,nc::Hispanic,pr::Hispanic,nc::Non-Hispanic Black,pr::Non-Hispanic Black,nc::Non-Hispanic Asian,pr::Non-Hispanic Asian,nc::Needs ADL or IADL help,pr::Needs ADL or IADL help,nc::Mental health condition,pr::Mental health condition,nc::Age 65 and over,pr::Age 65 and over,nc::Uninsured all year,pr::Uninsured all year,nc::Died in year 2,pr::Died in year 2,r2_lo,r2_hi,max_abs_nc_target_lo,max_abs_nc_target_hi
Penalized WLS,0.0,0.12302916243426665,0.1467064415255945,7746.723941992637,43607.07268294782,-91.92619349042366,0.9882673549836148,-271.1429541838061,0.9436445732953591,-202.29030622264585,0.9696434648881285,178.6594345441756,1.036261831009014,-7746.723941992637,0.752727620954659,193.4500146321296,1.0136400827394965,-1.3992018589558963,0.9999165202233057,-126.28883471988028,0.9473953235084857,-43607.07268294782,0.3418210176286569,0.1021702830019495,0.15503256616058778,4246.119700945961,12746.942537902385
Penalized WLS,0.1,0.11930961945320258,0.11661557662465476,4504.122097612747,40147.53450864963,548.1193632735709,1.0699571000572963,-89.38702176959681,0.9814214469675365,212.83539647918033,1.0319389757567439,383.22886043771655,1.0777825151547387,-4504.122097612747,0.8562301955088237,1052.6570553093768,1.0742224256640078,1689.923386788091,1.1008249281948617,-95.20457146603563,0.9603432425867836,-40147.53450864963,0.39403721043732465,0.09910504385435293,0.15015356374108996,1240.1365920518738,9350.605605593502
Penalized WLS,0.3,0.1138712504994646,0.1016410307442216,2817.4491750021957,38145.38592610237,663.5936775811361,1.0846952186156622,-220.88820843323728,0.9540897189169071,231.88064219207718,1.034796985520007,315.9441536698339,1.0641259922146935,-2817.4491750021957,0.9100681313083006,857.9883569123813,1.0604964140223212,2553.8765632584923,1.1523704702368065,-301.97676602227233,0.8742138200911382,-38145.38592610237,0.4242564394646491,0.09370186827494474,0.1419746077715625,726.0317914925091,7644.367606376954
Penalized WLS,1.0,0.10700700190047523,0.08635577566440729,1573.9160442844532,36610.43304431688,487.44968828129686,1.0622137601786796,-605.162773202426,0.8742205696908231,-19.2429710734534,0.997112318736593,30.73403193381849,1.0062379704438962,-1573.9160442844532,0.9497612193745294,421.4233213530412,1.0297143889212927,3115.444828738229,1.1858749950490945,-757.5157093744556,0.6844624553130797,-36610.43304431688,0.44742409699274993,0.08817167118092303,0.13191791578264467,500.2209960610362,6366.021954367866
Penalized WLS,3.0,0.10267857563470657,0.07484532945832474,1043.9370385909162,35969.69852856702,251.90600042285328,1.0321510504050908,-949.7095713899511,0.802608596995368,-296.95473412433915,0.9554377222447803,-242.83001099180078,0.9507137093265324,-1043.9370385909162,0.9666779406315692,185.19079691931623,1.013057728619852,3293.2723323388477,1.196484615237665,-1147.603334803009,0.5219743510833731,-35969.69852856702,0.4570949592084415,0.08473228641505584,0.1270317821778546,356.91675499135226,5843.4175592463025
Penalized WLS,10.0,0.10042620422298217,0.06808296685334136,824.7551844161644,35714.632232562355,101.26036817655473,1.0129239763872935,-1152.6597438487845,0.7604266284351796,-469.3136079931275,0.9295728239007053,-407.22437317236216,0.9173472062060263,-824.7551844161644,0.9736741391447975,85.35678495083435,1.0060184725822885,3344.73515233263,1.1995550119024745,-1375.0868207849,0.4272177939120085,-35714.632232562355,0.46094477679106566,0.0829294820637318,0.12447381540110822,267.49026488963136,5618.625825320369
Penalized WLS,30.0,0.09966073843908785,0.06567648430663797,757.8831343309625,35638.63324690488,46.824506662587304,1.0059762652393165,-1224.2263644694067,0.7455519382370701,-531.0950231620433,0.9203016446046884,-465.5797729035709,0.905503031008028,-757.8831343309625,0.9758086686620523,55.209658253777185,1.003892810801968,3356.8469160275786,1.2002776291018122,-1455.0807574026792,0.39389691351593226,-35638.63324690488,0.4620918598664414,0.08231491082068731,0.12360271379280334,235.46189950135104,5549.813819380446
Penalized WLS,100.0,0.09937659453061287,0.06476832076383594,733.9761921568601,35611.707991385825,26.271287055428004,1.0033530343576884,-1251.0559796112557,0.7399755646440642,-554.3688963616443,0.916809069195784,-487.500456930064,0.901053872519428,-733.9761921568601,0.9765717688462533,44.498900903761665,1.0031375996083443,3360.7112327568516,1.2005081836108495,-1485.0462492761599,0.3814150103499874,-35611.707991385825,0.4624982535128683,0.08208654804462374,0.12327915523762217,224.1204456949669,5525.18282481073
Constrained WLS,inf,0.0992520224768804,0.06436745516136762,723.6474603089376,35600.11733745888,17.20573018334734,1.0021959869850365,-1262.8591025586531,0.7375223567701948,-564.6260584715266,0.9152698362609438,-497.15115643859735,0.899095106470548,-723.6474603089376,0.9769014579013535,39.88420315472603,1.002812219125772,3362.301413555257,1.200603057654294,-1498.2252191303048,0.375925408302376,-35600.11733745888,0.46267319588659994,0.08198639242018994,0.12313727029244798,219.54456437016816,5514.536020617279
Stacked LightGBM,0.0,0.18199927740251595,0.2552668729682575,4601.372680093938,41025.18120162398,13.771860013155171,1.0017577182151738,-11.450132422501218,0.9976201590764653,-9.777083046993818,0.9985328097507497,327.93808015659,1.06656035419791,-4601.372680093938,0.8531259951947637,191.8534092149351,1.0135275067335743,93.887145772208,1.0056015348417036,313.0820046644339,1.1304119846162042,-41025.18120162398,0.3807905380118832,0.15244966345118882,0.23350606394751047,1366.9285919245667,9257.401961109104
Stacked LightGBM,0.1,0.18022668283709128,0.24155840277256058,2414.5721521952296,38712.35681902995,423.60128299168605,1.0540647153234355,110.67661729429653,1.0230034669815469,260.172398527724,1.0390425656005193,463.6159158403027,1.0940983723371929,-2414.5721521952296,0.9229278073001312,747.162493411976,1.0526821269534041,1195.708793863662,1.071338886854748,340.0496218397783,1.1416451453338767,-38712.35681902995,0.4156989210993504,0.15205180879579114,0.23083852179444486,620.098500515103,6942.397835684123
Stacked LightGBM,0.3,0.1778048907566487,0.2376244341090535,1276.5336437695087,37381.77188357462,486.9150555553215,1.0621455243935367,21.333522834698115,1.0044340439753696,264.99838394513074,1.039766773292467,415.7216967679558,1.0843774634876762,-1276.5336437695087,0.9592535485464696,615.1466774390673,1.0433737448567841,1749.2575824362614,1.1043649502233734,204.23642345957023,1.085073165871752,-37381.77188357462,0.4357819715059668,0.14985083621251333,0.22748817516756045,623.4326210832854,5881.394344837359
Stacked LightGBM,1.0,0.17478689348866616,0.23460052624430086,535.6750562272432,36367.02538927578,354.84134985229986,1.0452888065618178,-239.0963215088539,0.9503052724984059,87.07884194954617,1.0130674176756307,219.91968159478927,1.0446362675998202,-436.5974358584511,0.9860639816962363,327.2083610748629,1.0230713299588186,2100.0650682536966,1.1252949757170072,-100.78938929291168,0.9580169281845764,-36367.02538927578,0.45109794604611664,0.14668932386086994,0.2233977954890049,479.655635267742,5111.0551501200935
