method,repeat,fold,in_sample::Income below 200% FPL,out_of_fold::Income below 200% FPL,in_sample::Mental health condition,out_of_fold::Mental health condition,in_sample::Needs ADL or IADL help,out_of_fold::Needs ADL or IADL help,in_sample::Age 65 and over,out_of_fold::Age 65 and over
Constrained WLS,0,0,3.0515437182053767e-13,480.954363672116,-1.9481381498581226e-10,-1013.6585851446821,-5.488823339111188e-11,2754.738632509673,3991.1661584043213,3040.313604254694
"Stacked LightGBM, constrained",0,0,2.186939664713853e-12,527.6427228335026,-8.891430139646296e-11,-723.3909228247031,-4.912431389419321e-11,2272.099129324604,2897.2691063726675,1604.1616378508097
Constrained WLS,0,1,5.2336717813643914e-11,438.74368315350137,-1.1028279410085395e-10,1174.096750605267,-1.0867762238586332e-11,-330.58499904301596,3486.271446045715,2239.7762606904907
"Stacked LightGBM, constrained",0,1,3.59751419534562e-11,556.7956081902404,4.2103824497303245e-11,1598.007577298711,1.3808450844321458e-11,4588.926891304126,2202.1390067591497,2141.931682423656
Constrained WLS,0,2,-1.9149739525162167e-11,-1538.0108676660977,-1.5228157533073142e-10,-378.3972133127637,-3.63545358940139e-11,-8887.715371774942,2548.1772202521333,1466.8182159823411
"Stacked LightGBM, constrained",0,2,4.559645640971072e-11,-1638.9489636358137,6.127600436022668e-12,-582.6602075574955,-2.6890608237582992e-11,-9293.63324689726,1201.867803157588,317.188497116422
Constrained WLS,0,3,1.838746533193799e-11,802.6137372668223,-6.216287666096283e-11,198.78858714151372,-9.245321528071183e-11,1853.0540123116616,3393.4408092234908,4150.464257817561
"Stacked LightGBM, constrained",0,3,2.979171295584489e-11,592.4101835560474,-4.6132869486021894e-11,-139.9049492565361,-4.6097842716566624e-11,2751.5846398885415,2293.2984367224635,3093.360009606932
Constrained WLS,0,4,-3.1455406547786174e-11,50.50710303179294,-8.301169604402376e-11,234.49582496360318,-2.9952643347579766e-11,1145.4640353323537,3459.6770817557335,6333.675022074496
"Stacked LightGBM, constrained",0,4,3.176480398923981e-11,272.9716557749276,2.7923684864704875e-11,631.5789158977417,-2.9037060363155935e-11,940.2387222609672,2097.4250134623003,4537.602971811166
Constrained WLS,1,0,-2.3806900161539016e-11,-1237.0117316941103,-9.856750984448023e-11,-1637.2036212152198,-7.540050204625091e-11,-12261.481991113727,2773.055671295604,2972.0242046422054
"Stacked LightGBM, constrained",1,0,-2.0824665344729527e-11,-1213.5836584030383,3.3610354783434457e-12,-1349.3130288075981,-5.2413329347265794e-11,-11664.162428077738,1361.4014846017571,1299.9569613136023
Constrained WLS,1,1,4.4029288308403995e-11,208.45593442118383,-1.0969290908324538e-10,681.3251998892018,-1.7940182363071216e-11,5056.510909792968,3943.757761422393,2669.9836004110434
"Stacked LightGBM, constrained",1,1,-3.055914074373245e-11,53.55068003835341,-4.3357248025286156e-11,192.41317466979348,-2.628598148435343e-13,3623.000341503922,2346.200967953664,1300.6234949607403
Constrained WLS,1,2,-2.447522396549918e-11,93.31624515932963,-1.595888618719112e-10,210.66305632903493,1.0100630932298868e-12,258.58740476229957,3370.1199477455953,3529.895801964089
"Stacked LightGBM, constrained",1,2,2.088347202087666e-11,514.7923123858873,-2.2941467878905658e-11,564.7109742037749,-1.4645914851833357e-11,6533.619519983447,2172.9685803492803,2970.97126285485
Constrained WLS,1,3,1.912286781498597e-11,98.89457535373997,-1.442360788163446e-10,-1111.4941787233604,-5.7430350424811926e-11,839.9650969538354,3574.5890198111065,3515.7802752788393
"Stacked LightGBM, constrained",1,3,4.958722372237053e-11,91.22903553836461,-1.7024393211322684e-12,-1084.3154612672117,2.135126657901764e-11,2347.812731791776,2313.4180493551607,3331.689569620132
Constrained WLS,1,4,1.6699089279046037e-11,869.5850445186529,-1.0409330032433009e-10,2122.7527687589636,-3.244177166641459e-11,1728.0521371017749,3129.495455087133,3952.4160568431175
"Stacked LightGBM, constrained",1,4,-4.94530128495206e-11,728.4680675318593,-1.1680127953807236e-11,2102.162709507985,-1.2976708666565838e-11,1653.782906320312,1964.40083903861,2482.1404830752076
