feature,label,mean_abs_shap,sd_across_folds,rank,cann_permutation_r2_loss
log_spend_y1,log_spend_y1,4389.674504787015,338.2640045239613,1,0.10833848972887208
log_rx_fills_y1,log_rx_fills_y1,1762.4858723811358,184.68926244385798,2,0.010116206623822488
n_conditions,n_conditions,899.47398366306,193.65701003970932,3,0.020932642797572742
log_office_visits_y1,log_office_visits_y1,524.8233152704427,52.31156640068706,4,0.0039015675939136907
log_inpatient_y1,log_inpatient_y1,459.53741100085745,102.23535313225833,5,0.016306357585992103
n_body_systems,n_body_systems,372.4089542869201,33.38076229260536,6,-0.01186868303980253
ccsr_END002+END005,"END002+END005 Diabetes mellitus without complication / Diabetes mellitus, Type 2",233.35005304687456,45.53936789015327,7,-0.001280735522529808
age_75-84,age_75-84,198.69954458088046,56.83486737457401,8,-0.00043642540315624867
age_85+,age_85+,164.37149617097757,21.33601336837245,9,0.010084317795111519
age_55-64,age_55-64,153.4532772749917,49.8122230708864,10,0.009084139292329051
age_65-74,age_65-74,142.41526479434376,28.575835185117604,11,0.0043665801359992875
ccsr_MUS003,MUS003 Rheumatoid arthritis and related disease,136.10040961497197,53.2245604087972,12,-0.011149732527481832
ccsr_END010,END010 Disorders of lipid metabolism,131.84649505620968,70.169735533897,13,0.009838908439327554
age_5-17,age_5-17,126.1777336638902,14.590618454956381,14,-0.002605692976173457
female,female,116.7896516559118,71.58129668741249,15,2.088903672126108e-05
region_1.0,region_1.0,98.99434992059011,39.89681228707186,16,-7.06724014394311e-05
age_25-34_x_female,age_25-34_x_female,97.80144655130789,25.235683731526102,17,0.01629023822597427
ccsr_END001,END001 Thyroid disorders,92.49670444607497,40.06177195301389,18,0.005721850143504015
log_er_visits_y1,log_er_visits_y1,89.7441894975672,41.830835124389004,19,0.0016165920569931231
region_3.0,region_3.0,81.13808698087601,21.142556191817214,20,-0.00024544673038488324
region_2.0,region_2.0,80.44077275296928,16.741831895558025,21,-0.0003019884858729653
ccsr_MUS006,MUS006 Osteoarthritis,80.20350018111127,26.199085437753666,22,-0.000826717522502407
