fold,feature,spearman_value_vs_shap
0,n_conditions,0.8559114782911
0,log_spend_y1,0.9098107963092689
0,n_body_systems,0.8716115955039785
1,n_conditions,0.8575144109675301
1,log_spend_y1,0.8524390868879305
1,n_body_systems,0.8691201324272989
2,n_conditions,0.8525315194448703
2,log_spend_y1,0.8780966434049774
2,n_body_systems,0.8663807966253796
3,n_conditions,0.8023920660465871
3,log_spend_y1,0.8826276800152308
3,n_body_systems,0.7892643294584516
4,n_conditions,0.9023251321088507
4,log_spend_y1,0.8552411187114103
4,n_body_systems,0.8921555374496182
