pct_rise_total,dollars_per_code,base_total,rise_total,affected_weight,codes_added_total,feature_set,model,pool,share_affected,codes_added,fold
0.02707982056671263,43.68015917596727,549800101564.6667,148884880.97931555,3408524.231322667,413,F3,WLS,prevalence,0.05,1,0
0.01668473155541628,12.742300254836247,549800101564.6667,91732671.0374707,3599533.4124485995,902,F3,WLS,prevalence,0.05,2,0
0.09611310007049424,79.77011886905079,549800101564.6667,528429921.80452716,6624409.3564908495,863,F3,WLS,prevalence,0.1,1,0
0.42709268804372635,169.5991578258677,549800101564.6667,2348156032.6396728,6922664.188729616,1734,F3,WLS,prevalence,0.1,2,0
0.7315358671529633,239.60716745861612,549800101564.6667,4021984940.5889573,16785745.531938717,2204,F3,WLS,prevalence,0.25,1,0
0.6571651393845039,104.56692646918826,549800101564.6667,3613094603.7835865,17276469.366479002,4416,F3,WLS,prevalence,0.25,2,0
0.07657212344685072,123.51199050083969,549800101564.6667,420993612.4810072,3408524.231322667,413,F3,WLS,chronic,0.05,1,0
0.5373030505500662,410.3438389289434,549800101564.6667,2954092717.634317,3599533.4124485995,902,F3,WLS,chronic,0.05,2,0
0.16114596022453315,133.74485260542107,549800101564.6667,885980652.9818407,6624409.3564908495,863,F3,WLS,chronic,0.1,1,0
1.5384489787613822,610.9204359155016,549800101564.6667,8458394047.750658,6922664.188729616,1734,F3,WLS,chronic,0.1,2,0
0.3321363661556976,108.78790429550313,549800101564.6667,1826086078.4572186,16785745.531938717,2204,F3,WLS,chronic,0.25,1,0
2.7460531765281107,436.9470067438985,549800101564.6667,15097803153.57131,17276469.366479002,4416,F3,WLS,chronic,0.25,2,0
5.238502486194943,8449.783552922298,549800101564.6667,28801291989.56739,3408524.231322667,413,F3,WLS,targeted,0.05,1,0
11.575616257906669,8840.416611025934,549800101564.6667,63642749942.70694,3599533.4124485995,902,F3,WLS,targeted,0.05,2,0
10.526583261713808,8736.652937591096,549800101564.6667,57875165464.19173,6624409.3564908495,863,F3,WLS,targeted,0.1,1,0
22.144375258119883,8793.565189700936,549800101564.6667,121749797660.00404,6922664.188729616,1734,F3,WLS,targeted,0.1,2,0
26.493512532581605,8677.681818482672,549800101564.6667,145661358812.18137,16785745.531938717,2204,F3,WLS,targeted,0.25,1,0
55.16238576391721,8777.33889147398,549800101564.6667,303282852955.5101,17276469.366479002,4416,F3,WLS,targeted,0.25,2,0
5.555942690845832,8961.81939281434,549800101564.6667,30546578557.145065,3408524.231322667,413,F3,WLS,own-targeted,0.05,1,0
12.116964221699472,9253.849591597495,549800101564.6667,66619081597.45803,3599533.4124485995,902,F3,WLS,own-targeted,0.05,2,0
11.087822255658962,9202.459380501738,549800101564.6667,60960858022.9227,6624409.3564908495,863,F3,WLS,own-targeted,0.1,1,0
23.112793460032538,9178.125534716284,549800101564.6667,127074161917.69055,6922664.188729616,1734,F3,WLS,own-targeted,0.1,2,0
28.007273476940924,9173.498890992085,549800101564.6667,153984018021.71518,16785745.531938717,2204,F3,WLS,own-targeted,0.25,1,0
57.69930623683123,9181.00908128021,549800101564.6667,317230844292.2062,17276469.366479002,4416,F3,WLS,own-targeted,0.25,2,0
0.5944832958264092,1004.6649150192009,576033797962.696,3424424707.202675,3408524.231322667,413,F3,Payment-form WLS (non-negative),prevalence,0.05,1,0
1.2874632268010138,1030.1645342514041,576033797962.696,7416223322.714958,3599533.4124485995,902,F3,Payment-form WLS (non-negative),prevalence,0.05,2,0
1.3075825688466722,1137.0247711889083,576033797962.696,7532117532.825671,6624409.3564908495,863,F3,Payment-form WLS (non-negative),prevalence,0.1,1,0
2.7882690787715347,1160.0571567530117,576033797962.696,16061372271.867147,6922664.188729616,1734,F3,Payment-form WLS (non-negative),prevalence,0.1,2,0
3.685948070405021,1264.9010209577787,576033797962.696,21232306660.886753,16785745.531938717,2204,F3,Payment-form WLS (non-negative),prevalence,0.25,1,0
6.890140092803242,1148.658757168676,576033797962.696,39689535661.52495,17276469.366479002,4416,F3,Payment-form WLS (non-negative),prevalence,0.25,2,0
1.515444155514246,2561.070402490574,576033797962.696,8729470525.012417,3408524.231322667,413,F3,Payment-form WLS (non-negative),chronic,0.05,1,0
3.5344406245997395,2828.084953484098,576033797962.696,20359572566.618317,3599533.4124485995,902,F3,Payment-form WLS (non-negative),chronic,0.05,2,0
3.075233380503518,2674.107635056368,576033797962.696,17714383637.931023,6624409.3564908495,863,F3,Payment-form WLS (non-negative),chronic,0.1,1,0
6.922299762794444,2880.017370689838,576033797962.696,39874786229.98754,6922664.188729616,1734,F3,Payment-form WLS (non-negative),chronic,0.1,2,0
7.98322161201217,2739.58964550925,576033797962.696,45986054651.45247,16785745.531938717,2204,F3,Payment-form WLS (non-negative),chronic,0.25,1,0
16.510168332311395,2752.418554892218,576033797962.696,95104149694.64764,17276469.366479002,4416,F3,Payment-form WLS (non-negative),chronic,0.25,2,0
5.550203528013561,9379.73328259714,576033797962.696,31971048177.07606,3408524.231322667,413,F3,Payment-form WLS (non-negative),targeted,0.05,1,0
12.234605300316103,9789.52735004825,576033797962.696,70475461577.15616,3599533.4124485995,902,F3,Payment-form WLS (non-negative),targeted,0.05,2,0
11.178713399453665,9720.59000175508,576033797962.696,64393167358.237755,6624409.3564908495,863,F3,Payment-form WLS (non-negative),targeted,0.1,1,0
23.401783632862383,9736.293670784531,576033797962.696,134802183051.38977,6922664.188729616,1734,F3,Payment-form WLS (non-negative),targeted,0.1,2,0
28.176514853406236,9669.29043066776,576033797962.696,162306248643.59912,16785745.531938717,2204,F3,Payment-form WLS (non-negative),targeted,0.25,1,0
58.32226630188588,9722.934660727493,576033797962.696,335955965636.6709,17276469.366479002,4416,F3,Payment-form WLS (non-negative),targeted,0.25,2,0
5.823301064259568,9841.262672860557,576033797962.696,33544182287.25649,3408524.231322667,413,F3,Payment-form WLS (non-negative),own-targeted,0.05,1,0
12.734334769215334,10189.386208044083,576033797962.696,73354072216.39522,3599533.4124485995,902,F3,Payment-form WLS (non-negative),own-targeted,0.05,2,0
11.646880386495319,10127.690458737126,576033797962.696,67089967434.50132,6624409.3564908495,863,F3,Payment-form WLS (non-negative),own-targeted,0.1,1,0
24.301311681308178,10110.541607701492,576033797962.696,139983768632.5918,6922664.188729616,1734,F3,Payment-form WLS (non-negative),own-targeted,0.1,2,0
29.420524594024915,10096.195303154765,576033797962.696,169472165199.51077,16785745.531938717,2204,F3,Payment-form WLS (non-negative),own-targeted,0.25,1,0
60.575109918071334,10098.507365115009,576033797962.696,348933106281.14404,17276469.366479002,4416,F3,Payment-form WLS (non-negative),own-targeted,0.25,2,0
0.16553571829261177,269.1872794495795,554279991189.4722,917531364.7677178,3408524.231322667,413,F3,Tweedie GLM,prevalence,0.05,1,0
0.421483190760755,324.51386401003145,554279991189.4722,2336196992.613819,3599533.4124485995,902,F3,Tweedie GLM,prevalence,0.05,2,0
0.2969667880495651,248.47913195822468,554279991189.4722,1646027486.636788,6624409.3564908495,863,F3,Tweedie GLM,prevalence,0.1,1,0
0.5703108375605654,228.3166403860626,554279991189.4722,3161118860.183307,6922664.188729616,1734,F3,Tweedie GLM,prevalence,0.1,2,0
0.8919385562549804,294.52590840358164,554279991189.4722,4943836951.025611,16785745.531938717,2204,F3,Tweedie GLM,prevalence,0.25,1,0
1.7133320020697442,274.8436694057599,554279991189.4722,9496656470.118586,17276469.366479002,4416,F3,Tweedie GLM,prevalence,0.25,2,0
0.4497961634718647,731.4397569340393,554279991189.4722,2493130135.2624354,3408524.231322667,413,F3,Tweedie GLM,chronic,0.05,1,0
0.9965944061761209,767.3110308747073,554279991189.4722,5523923386.747776,3599533.4124485995,902,F3,Tweedie GLM,chronic,0.05,2,0
0.8786785259249978,735.2110949044412,554279991189.4722,4870339256.080862,6624409.3564908495,863,F3,Tweedie GLM,chronic,0.1,1,0
2.373602641162091,950.2414209059489,554279991189.4722,13156404510.306316,6922664.188729616,1734,F3,Tweedie GLM,chronic,0.1,2,0
2.2191096339455756,732.769400090961,554279991189.4722,12300080683.518265,16785745.531938717,2204,F3,Tweedie GLM,chronic,0.25,1,0
5.118785187521019,821.128480725628,554279991189.4722,28372402086.399513,17276469.366479002,4416,F3,Tweedie GLM,chronic,0.25,2,0
1.6734810843675345,2721.3451269467487,554279991189.4722,9275770806.989853,3408524.231322667,413,F3,Tweedie GLM,targeted,0.05,1,0
4.134627136655445,3183.3863313386564,554279991189.4722,22917410928.771328,3599533.4124485995,902,F3,Tweedie GLM,targeted,0.05,2,0
3.376388458507706,2825.1040422194837,554279991189.4722,18714645650.338867,6624409.3564908495,863,F3,Tweedie GLM,targeted,0.1,1,0
9.611438298065885,3847.8162380340414,554279991189.4722,53274279351.70114,6922664.188729616,1734,F3,Tweedie GLM,targeted,0.1,2,0
8.92427898396355,2946.8749345638344,554279991189.4722,49465492766.03708,16785745.531938717,2204,F3,Tweedie GLM,targeted,0.25,1,0
21.72561860493654,3485.1089749549537,554279991189.4722,120420756889.30057,17276469.366479002,4416,F3,Tweedie GLM,targeted,0.25,2,0
4.235681956458011,6887.889298049421,554279991189.4722,23477537575.069527,3408524.231322667,413,F3,Tweedie GLM,own-targeted,0.05,1,0
12.1560803790744,9359.368775560835,554279991189.4722,67378721254.11874,3599533.4124485995,902,F3,Tweedie GLM,own-targeted,0.05,2,0
9.40857252929087,7872.375057152852,554279991189.4722,52149834986.40854,6624409.3564908495,863,F3,Tweedie GLM,own-targeted,0.1,1,0
26.422127359784277,10577.760325303243,554279991189.4722,146452565201.8834,6922664.188729616,1734,F3,Tweedie GLM,own-targeted,0.1,2,0
23.411885379639635,7730.809213844198,554279991189.4722,129767396219.55591,16785745.531938717,2204,F3,Tweedie GLM,own-targeted,0.25,1,0
