feature_set,model,fold,rank,flag,training_gain
F3,WLS,0,1,NVS015,11102.166829574124
F3,WLS,0,2,MUS003,10041.397635895197
F3,WLS,0,3,GEN006,9096.188617526259
F3,WLS,0,4,EYE005,7918.9204394327835
F3,WLS,0,5,DEN001,7775.202280188293
F3,Payment-form WLS (non-negative),0,1,NVS015,12298.18122786815
F3,Payment-form WLS (non-negative),0,2,MUS003,11070.089593572256
F3,Payment-form WLS (non-negative),0,3,GEN006,10000.577475023874
F3,Payment-form WLS (non-negative),0,4,EYE005,8784.513665154234
F3,Payment-form WLS (non-negative),0,5,MUS026,8366.020920576757
F3,Tweedie GLM,0,1,DEN001,23062.31620198655
F3,Tweedie GLM,0,2,NVS009,3903.3230518821515
F3,Tweedie GLM,0,3,MUS026,3698.814833430279
F3,Tweedie GLM,0,4,MUS003,3514.877088683892
F3,Tweedie GLM,0,5,GEN006,2926.723436162683
F3,Two-part,0,1,NVS009,3642.665388798399
F3,Two-part,0,2,MUS003,3278.0040470497706
F3,Two-part,0,3,MUS026,3158.5739555744617
F3,Two-part,0,4,GEN006,3105.255910367199
F3,Two-part,0,5,NEO039,2853.976416223604
F3,LightGBM (Tweedie),0,1,PRG029,2958.489590086617
F3,LightGBM (Tweedie),0,2,MUS003,2055.0404572080492
F3,LightGBM (Tweedie),0,3,MUS033,2048.8306767777585
F3,LightGBM (Tweedie),0,4,NVS017,2021.3437296767975
F3,LightGBM (Tweedie),0,5,MUS026,1865.9488626885995
F3,LightGBM (squared error),0,1,MUS003,5110.541291660533
F3,LightGBM (squared error),0,2,PRG029,4998.518514518737
F3,LightGBM (squared error),0,3,NVS017,4636.025703571161
F3,LightGBM (squared error),0,4,GEN006,4216.378282938375
F3,LightGBM (squared error),0,5,MUS026,3527.270222207051
F3,CANN,0,1,DEN001,23062.31620198655
F3,CANN,0,2,NVS009,3903.3230518821515
F3,CANN,0,3,MUS026,3698.814833430279
F3,CANN,0,4,MUS003,3514.877088683892
F3,CANN,0,5,GEN006,2926.723436162683
F3,Constrained WLS,0,1,NVS009,19705.473644131413
F3,Constrained WLS,0,2,NVS015,16084.679083600831
