variant,model,n,r2,cpm,pr_top_decile,top10_capture,max_abs_nc_target,nc_income,nc_mental_health,nc_function
baseline,WLS,43568,0.12360453159122486,0.14867226902645614,0.9407175549633381,0.4311792100975204,7886.870538020277,-42.881407247462505,174.47663623543136,-7886.870538020277
baseline,Tweedie GLM,43568,0.12499700123836044,0.24309066054137374,1.0032560635829992,0.46440427619132635,5010.688434591082,204.3315310380798,624.6032893735264,-5010.688434591082
baseline,LightGBM (Tweedie),43568,0.19535167603921322,0.27738401372906174,0.9898671621980946,0.4827676226435636,5863.830726867263,78.29371855074747,468.0670672953671,-5863.830726867263
outcome capped,WLS,43568,0.18891338918875566,0.17331009594973767,0.9309261984837621,0.4375833747189419,6699.093346407651,55.4444234458163,95.92426132482301,-6699.093346407651
outcome capped,Tweedie GLM,43568,0.1935033385027396,0.24981452869826382,1.000226647537607,0.46250632577587447,4034.2904513943104,246.42173794785836,456.13623185458755,-4034.2904513943104
outcome capped,LightGBM (Tweedie),43568,0.2822828415283397,0.2837160119417439,0.9952751946199209,0.4816191069538299,4558.4642946821605,119.97385046810203,269.99042285584886,-4558.4642946821605
log outcome,"WLS, log outcome",43568,-0.10491718108084158,0.1946114473581131,1.6448738406281767,0.4546259356649942,6406.778673748197,533.5010273233635,5484.593442788051,6406.778673748197
unweighted training,WLS,43568,0.1273909708308979,0.14941048675926194,0.9126602483628846,0.4450580678334678,7806.019165028318,-96.64995315992775,270.52212435209225,-7806.019165028318
unweighted training,Tweedie GLM,43568,0.14443565282743076,0.25732486073593674,0.9675008449175185,0.4669653769524767,5223.066979601038,54.07858382233145,357.5302482956359,-5223.066979601038
unweighted training,LightGBM (Tweedie),43568,0.19579003093533276,0.2827941227342812,0.987998245529455,0.4820227679042009,5356.489144191105,60.95396620383732,417.33555044420143,-5356.489144191105
CCSR floor 0.2%,WLS,43568,0.12464282666027948,0.15521450622353983,0.9970295088731291,0.4288733826398524,7368.717298936984,-2.772873146563073,203.65063114729836,-7368.717298936984
CCSR floor 0.2%,Tweedie GLM,43568,0.12548416100236637,0.24718378115859096,1.0151734294371777,0.4620649869046716,4530.929218209862,179.34841809426456,744.8482931611645,-4530.929218209862
CCSR floor 0.2%,LightGBM (Tweedie),43568,0.19729575568724278,0.2796040501038136,0.9850358915897566,0.480655947409435,5684.503779679254,70.85175602193767,462.3124916900757,-5684.503779679254
CCSR floor 1%,WLS,43568,0.12354322487893821,0.14984233059292362,0.9047387272745319,0.44352272181230645,8667.631631984385,-132.27210469325004,147.3343776442342,-8667.631631984385
CCSR floor 1%,Tweedie GLM,43568,0.15733280485699785,0.2514751516057149,0.9669376515119329,0.4681059226687894,5867.70954158718,60.126166337428955,297.59801671095425,-5867.70954158718
CCSR floor 1%,LightGBM (Tweedie),43568,0.19542291633789455,0.2772430347475727,0.9856001097234721,0.4817355764642515,5824.216112259119,49.043032162424716,467.75497400898234,-5824.216112259119
no prior spending (F2),WLS,43568,0.10129089122981083,0.18859815698877103,1.0568869625483877,0.3996762154325637,8907.586597779104,452.5146507970867,120.22037032824717,-8907.586597779104
